number,value,params_conv_ch_0,params_conv_ch_1,params_conv_ch_2,params_conv_ch_3,params_conv_ch_4,params_conv_ch_5,params_conv_ch_6,params_conv_ch_7,params_conv_ch_8,params_conv_ch_9,params_dropout,params_kernel_size,params_linear_units_0,params_linear_units_1,params_linear_units_2,params_linear_units_3,params_linear_units_4,params_linear_units_5,params_lr,params_n_conv_layers,params_n_linear_layers,params_optimizer,params_pool_every,params_pool_type,state
0,0.31959782780071194,256,64,64,256,128.0,32.0,,,,,0.05793452976256486,5,256,16.0,8.0,128.0,8.0,16.0,0.0018832519048593583,6,6,adam,2,max,COMPLETE
1,0.2821935237262074,64,64,128,16,,,,,,,0.40900738296124656,3,64,64.0,,,,,0.0018681142751959697,4,2,sgd,2,avg,COMPLETE
2,0.2157293981162028,32,16,32,128,16.0,64.0,,,,,0.3299920230170895,3,32,128.0,,,,,0.0016111511355977057,6,2,adam,1,max,COMPLETE
3,0.31832223251033115,16,8,8,256,128.0,,,,,,0.28845194231317955,5,256,,,,,,0.0005339595444466471,5,1,sgd,2,avg,COMPLETE
4,0.14973129918739814,64,64,32,256,32.0,,,,,,0.3978963347180505,3,256,,,,,,0.002063696403063292,5,1,sgd,3,max,COMPLETE
5,0.7117750673297246,128,16,16,32,,,,,,,0.2370869145436626,3,128,8.0,64.0,128.0,,,0.00013948031455899012,4,4,adam,3,avg,PRUNED
6,0.5315707925757192,32,16,32,128,256.0,,,,,,0.21449701368750917,5,32,64.0,128.0,,,,0.0012856643861355176,5,3,adam,3,avg,PRUNED
7,0.27881329217769396,256,64,256,8,8.0,128.0,32.0,16.0,32.0,256.0,0.13869059149056634,5,16,32.0,8.0,128.0,,,0.00018961721495508308,10,4,adam,2,max,COMPLETE
8,0.5472799163948815,16,128,32,32,8.0,64.0,16.0,8.0,,,0.014391338156669486,5,256,,,,,,0.0013044555671438108,8,1,sgd,1,max,PRUNED
9,0.4327018503838611,256,256,8,8,128.0,,,,,,0.060317935550300406,5,16,,,,,,0.00047932061953693265,5,1,sgd,1,max,PRUNED
10,0.778677368795942,256,8,32,64,32.0,8.0,,,,,0.49035373287739503,3,256,256.0,,,,,0.0007563074628379831,6,2,sgd,3,max,PRUNED
11,0.2721655317439889,64,64,16,8,,,,,,,0.15827800165557843,3,256,128.0,,,,,0.0017360143245517812,4,2,sgd,3,max,COMPLETE
12,0.8823213545809006,32,128,32,256,16.0,64.0,256.0,,,,0.38653995099675875,3,32,128.0,32.0,8.0,,,0.0013200086552610046,7,4,adam,1,max,PRUNED
13,0.5515505639443544,16,16,32,128,64.0,16.0,,,,,0.23701605785576993,3,32,128.0,,,,,0.002795984107160701,6,2,adam,1,max,PRUNED
14,0.6107289554053035,32,16,128,64,16.0,256.0,8.0,256.0,,,0.3350830613015844,3,16,,,,,,0.0011594133712480076,8,1,adam,1,avg,PRUNED
15,0.10590170624057695,64,32,32,256,32.0,64.0,128.0,128.0,,,0.4788069512598482,3,128,,,,,,0.002737536710781138,8,1,sgd,2,max,COMPLETE
16,0.17292594493217026,64,32,16,256,32.0,256.0,128.0,,,,0.4191842369957528,3,128,256.0,,,,,0.0024847900819640486,7,2,adam,2,max,COMPLETE
17,0.16176052900708665,128,16,32,128,32.0,8.0,128.0,128.0,256.0,,0.4247877390114296,3,128,,,,,,0.0029848402309573573,9,1,sgd,2,max,COMPLETE
18,0.5481505507971925,32,32,32,256,,,,,,,0.3119367795863331,3,256,16.0,,,,,0.0015399107047050521,4,2,sgd,2,max,PRUNED
19,0.8704626657046375,64,32,32,8,32.0,32.0,64.0,64.0,8.0,,0.467995379465582,3,128,32.0,,,,,0.0013942586505995029,9,2,sgd,1,max,PRUNED
20,0.18225021990508103,32,16,32,256,32.0,128.0,128.0,,,,0.39495659470957106,3,256,,,,,,0.0028164626973810644,7,1,adam,3,avg,COMPLETE
21,0.16592178301574628,128,16,32,128,32.0,8.0,128.0,128.0,256.0,,0.45712343867110483,3,128,,,,,,0.002778681214883184,9,1,sgd,2,max,COMPLETE
22,0.14647680248455386,8,64,256,256,32.0,8.0,,,,,0.43396860400753395,3,128,,,,,,0.0018963477017669387,6,1,sgd,3,max,COMPLETE
23,0.9099517470930056,8,64,8,32,32.0,16.0,8.0,,,,0.3723733329201805,3,8,,,,,,0.0015168326304898607,7,1,sgd,3,max,PRUNED
24,0.11570267594050057,128,128,256,16,64.0,,,,,,0.44792019804032845,5,128,,,,,,0.0024352298139384437,5,1,sgd,3,max,COMPLETE
25,0.19292376140168355,64,32,256,16,64.0,,,,,,0.4386000451975252,5,128,,,,,,0.001825988804086389,5,1,sgd,3,max,COMPLETE
26,0.6991533155454002,16,64,256,256,64.0,64.0,64.0,32.0,,,0.2600182363825005,3,128,8.0,,,,,0.002506787670643128,8,2,sgd,3,avg,PRUNED
27,0.14205013647061188,128,128,256,64,,,,,,,0.4658034299377477,5,128,,,,,,0.002414811349611695,4,1,sgd,2,max,COMPLETE
28,0.1139569529256154,128,128,128,64,256.0,64.0,,,,,0.4418390286493215,5,128,256.0,,,,,0.002486290697157502,6,2,sgd,2,max,COMPLETE
29,0.15829985003853417,128,128,128,64,256.0,64.0,32.0,,,,0.24155929835109627,5,32,,,,,,0.0007327888053520988,7,1,sgd,2,max,COMPLETE
