number,value,params_conv_ch_0,params_conv_ch_1,params_conv_ch_2,params_conv_ch_3,params_conv_ch_4,params_conv_ch_5,params_conv_ch_6,params_conv_ch_7,params_conv_ch_8,params_conv_ch_9,params_dropout,params_kernel_size,params_linear_units_0,params_linear_units_1,params_linear_units_2,params_linear_units_3,params_linear_units_4,params_linear_units_5,params_lr,params_n_conv_layers,params_n_linear_layers,params_optimizer,params_pool_every,params_pool_type,state
0,0.2807101128412387,256,64,64,256,128.0,32.0,,,,,0.05793452976256486,5,256,16.0,8.0,128.0,8.0,16.0,0.0018832519048593583,6,6,adam,2,max,COMPLETE
1,0.2850330353664125,64,64,128,16,,,,,,,0.40900738296124656,3,64,64.0,,,,,0.0018681142751959697,4,2,sgd,2,avg,COMPLETE
2,0.1765457083846691,32,16,32,128,16.0,64.0,,,,,0.3299920230170895,3,32,128.0,,,,,0.0016111511355977057,6,2,adam,1,max,COMPLETE
3,0.3025127748659365,16,8,8,256,128.0,,,,,,0.28845194231317955,5,256,,,,,,0.0005339595444466471,5,1,sgd,2,avg,COMPLETE
4,0.14892481841376284,64,64,32,256,32.0,,,,,,0.3978963347180505,3,256,,,,,,0.002063696403063292,5,1,sgd,3,max,COMPLETE
5,0.7162694551836373,128,16,16,32,,,,,,,0.2370869145436626,3,128,8.0,64.0,128.0,,,0.00013948031455899012,4,4,adam,3,avg,PRUNED
6,0.509195577530003,32,16,32,128,256.0,,,,,,0.21449701368750917,5,32,64.0,128.0,,,,0.0012856643861355176,5,3,adam,3,avg,PRUNED
7,0.4342396546733526,256,64,256,8,8.0,128.0,32.0,16.0,32.0,256.0,0.13869059149056634,5,16,32.0,8.0,128.0,,,0.00018961721495508308,10,4,adam,2,max,PRUNED
8,0.5695540352733496,16,128,32,32,8.0,64.0,16.0,8.0,,,0.014391338156669486,5,256,,,,,,0.0013044555671438108,8,1,sgd,1,max,PRUNED
9,0.36187629517760195,256,256,8,8,128.0,,,,,,0.060317935550300406,5,16,,,,,,0.00047932061953693265,5,1,sgd,1,max,PRUNED
10,0.2631796325712896,256,8,32,64,32.0,8.0,,,,,0.49035373287739503,3,256,256.0,,,,,0.0007563074628379831,6,2,sgd,3,max,COMPLETE
11,0.8446922832985085,64,64,16,8,,,,,,,0.15827800165557843,3,256,128.0,,,,,0.0017360143245517812,4,2,sgd,3,max,PRUNED
12,1.379827077143165,32,128,32,256,16.0,64.0,256.0,,,,0.38653995099675875,3,32,128.0,32.0,8.0,,,0.0013200086552610046,7,4,adam,1,max,PRUNED
13,0.1974355957152804,16,16,32,128,64.0,16.0,,,,,0.23701605785576993,3,32,128.0,,,,,0.002795984107160701,6,2,adam,1,max,COMPLETE
14,0.6943577190865039,32,16,128,64,16.0,256.0,8.0,256.0,,,0.3350830613015844,3,16,,,,,,0.0011594133712480076,8,1,adam,1,avg,PRUNED
15,0.13107480898421664,64,32,32,256,32.0,64.0,128.0,128.0,,,0.4788069512598482,3,128,,,,,,0.002737536710781138,8,1,sgd,2,max,COMPLETE
16,0.17905746361940142,64,32,16,256,32.0,256.0,128.0,,,,0.4191842369957528,3,128,256.0,,,,,0.0024847900819640486,7,2,adam,2,max,COMPLETE
17,0.16968622427805885,128,16,32,128,32.0,8.0,128.0,128.0,256.0,,0.4247877390114296,3,128,,,,,,0.0029848402309573573,9,1,sgd,2,max,COMPLETE
18,0.5969996995522666,32,32,32,256,,,,,,,0.3119367795863331,3,256,16.0,,,,,0.0015399107047050521,4,2,sgd,2,max,PRUNED
19,0.6723103798724689,64,32,32,8,32.0,32.0,64.0,64.0,8.0,,0.467995379465582,3,128,32.0,,,,,0.0013942586505995029,9,2,sgd,1,max,PRUNED
20,0.6549614598478446,32,16,32,256,32.0,128.0,128.0,,,,0.39495659470957106,3,256,,,,,,0.0028164626973810644,7,1,adam,3,avg,PRUNED
21,0.13256844503804835,128,16,32,128,32.0,8.0,128.0,128.0,256.0,,0.45712343867110483,3,128,,,,,,0.002778681214883184,9,1,sgd,2,max,COMPLETE
22,0.39677895261309043,8,64,256,256,32.0,8.0,,,,,0.43396860400753395,3,128,,,,,,0.0018963477017669387,6,1,sgd,3,max,PRUNED
23,0.6868419953287542,16,64,32,32,32.0,,,,,,0.4024539153295997,3,256,,,,,,0.0018362093961085016,5,1,sgd,3,max,PRUNED
24,0.6752330884825907,32,32,32,256,64.0,16.0,128.0,128.0,,,0.3614947319185346,5,128,8.0,16.0,,,,0.002284961213537816,8,3,sgd,3,max,PRUNED
25,1.2441069879642075,16,32,256,64,256.0,64.0,128.0,128.0,,,0.44619981123814945,3,32,8.0,,,,,0.002768163076058607,8,2,sgd,2,max,PRUNED
26,0.4076046328178206,64,32,64,256,32.0,8.0,256.0,32.0,16.0,16.0,0.2937130750083994,3,128,32.0,,,,,0.0026754604142652395,10,2,sgd,3,avg,PRUNED
27,0.14562351700298945,64,64,32,256,,,,,,,0.4343137092446751,3,256,,,,,,0.0026179679823694806,4,1,adam,3,max,COMPLETE
28,0.584596414852969,256,64,64,256,64.0,8.0,,,,,0.43398091643056197,3,256,256.0,256.0,,,,0.0026261545701655267,6,3,adam,3,max,PRUNED
29,0.8805246829907091,64,32,32,16,8.0,,,,,,0.47407372373173623,3,256,16.0,,,,,0.002392169322910284,5,2,adam,3,max,PRUNED
