number,value,datetime_start,datetime_complete,duration,params_conv_ch_0,params_conv_ch_1,params_conv_ch_2,params_conv_ch_3,params_conv_ch_4,params_conv_ch_5,params_conv_ch_6,params_conv_ch_7,params_conv_ch_8,params_conv_ch_9,params_dropout,params_kernel_size,params_linear_units_0,params_linear_units_1,params_linear_units_2,params_linear_units_3,params_lr,params_n_conv_layers,params_n_linear_layers,params_pool_every,params_pool_type,user_attrs_complexity,user_attrs_mean_cv_loss,state
0,0.5166222249081848,2025-12-03 01:50:12.394826,2025-12-03 01:59:08.290890,0 days 00:08:55.896064,16,256,16,128,128.0,128.0,,,,,0.29894998940554257,3,128,128.0,256.0,64.0,0.0069782812651260325,6,4,2,max,960.0,0.5156622249081848,COMPLETE
1,0.46654377637982736,2025-12-03 01:59:08.460342,2025-12-03 02:13:09.394262,0 days 00:14:00.933920,256,256,32,16,,,,,,,0.44360637128816327,3,128,,,,0.0008798929749689024,4,1,3,max,624.0,0.46591977637982734,COMPLETE
2,1.4056623176580063,2025-12-03 02:13:09.508078,2025-12-03 02:26:19.404350,0 days 00:13:09.896272,64,256,64,16,,,,,,,0.2087055015743895,5,32,128.0,64.0,,0.00027810936979265544,4,3,3,avg,512.0,1.4051503176580062,COMPLETE
3,0.550529359876286,2025-12-03 02:26:19.519863,2025-12-03 02:29:50.666829,0 days 00:03:31.146966,16,16,64,32,,,,,,,0.020387570777381958,3,32,64.0,,,0.0015197980620034217,4,2,3,max,176.0,0.5503533598762861,COMPLETE
4,0.28558789741858603,2025-12-03 02:29:50.775657,2025-12-03 02:39:07.545161,0 days 00:09:16.769504,256,32,16,256,16.0,16.0,32.0,256.0,,,0.04683738391404624,5,128,,,,0.000543790487365709,8,1,3,max,944.0,0.28464389741858603,COMPLETE
5,0.7575532489340929,2025-12-03 02:39:07.651465,2025-12-03 02:49:28.159290,0 days 00:10:20.507825,16,256,256,16,32.0,,,,,,0.49502692505213164,5,64,,,,0.00019061980918553997,5,1,2,avg,608.0,0.7569452489340929,COMPLETE
6,1.5499667188318398,2025-12-03 02:49:28.264258,2025-12-03 02:55:02.880365,0 days 00:05:34.616107,16,128,32,16,256.0,64.0,32.0,,,,0.33009868835886563,3,256,64.0,32.0,64.0,0.00036296754488993613,7,4,3,avg,752.0,1.5492147188318397,COMPLETE
7,0.665956452721242,2025-12-03 02:55:02.997155,2025-12-03 02:59:20.894365,0 days 00:04:17.897210,32,16,16,256,16.0,16.0,64.0,128.0,16.0,64.0,0.17040177012650892,5,32,256.0,64.0,,0.007269669235029612,10,3,2,avg,800.0,0.665156452721242,COMPLETE
8,0.4706143797531173,2025-12-03 02:59:21.005544,2025-12-03 03:14:28.600834,0 days 00:15:07.595290,128,64,256,32,64.0,256.0,128.0,256.0,128.0,128.0,0.37302243963271164,5,128,64.0,,,0.0014680387869452154,10,2,3,avg,1536.0,0.46907837975311734,COMPLETE
9,0.387526041860972,2025-12-03 03:14:28.707647,2025-12-03 03:23:43.852024,0 days 00:09:15.144377,128,256,64,256,64.0,16.0,128.0,64.0,64.0,32.0,0.4064505045650388,3,128,128.0,,,0.009987006822797443,10,2,2,avg,1200.0,0.386326041860972,COMPLETE
10,1.5323085574511097,2025-12-03 03:23:43.956282,2025-12-03 03:27:41.825611,0 days 00:03:57.869329,32,32,128,64,16.0,32.0,256.0,64.0,32.0,64.0,0.08850524213837341,3,32,256.0,128.0,,0.0001504544604259194,10,3,2,avg,928.0,1.5313805574511097,COMPLETE
11,0.5753396147667303,2025-12-03 03:27:41.930060,2025-12-03 03:41:24.564547,0 days 00:13:42.634487,128,256,64,128,,,,,,,0.010035598888863184,5,64,64.0,,,0.0004407155063074604,4,2,2,avg,640.0,0.5746996147667304,COMPLETE
12,0.3805819492196116,2025-12-03 03:41:24.667199,2025-12-03 03:53:20.236213,0 days 00:11:55.569014,32,256,256,64,64.0,,,,,,0.3343216099622155,5,128,128.0,,,0.007223571539891616,5,2,2,max,800.0,0.37978194921961156,COMPLETE
13,0.9615293587991072,2025-12-03 03:53:20.339552,2025-12-03 04:00:18.921737,0 days 00:06:58.582185,32,128,16,128,16.0,128.0,16.0,,,,0.23133989283480322,5,256,64.0,64.0,,0.0004006413294593758,7,3,3,max,656.0,0.9608733587991072,COMPLETE
14,0.8543493779031899,2025-12-03 04:00:19.026180,2025-12-03 04:10:56.566112,0 days 00:10:37.539932,256,64,256,16,128.0,64.0,16.0,32.0,32.0,,0.46278425645338817,5,32,256.0,128.0,,0.0007974046112983988,9,3,2,avg,1072.0,0.8532773779031899,COMPLETE
15,1.6777555124851762,2025-12-03 04:10:56.679130,2025-12-03 04:19:16.103290,0 days 00:08:19.424160,64,256,256,64,,,,,,,0.4490271447203569,3,256,64.0,128.0,32.0,0.0002572049254108753,4,4,2,max,880.0,1.6768755124851762,COMPLETE
16,0.46457069598267164,2025-12-03 04:19:16.206671,2025-12-03 04:28:17.673206,0 days 00:09:01.466535,128,128,64,256,256.0,,,,,,0.4151099322834958,3,128,,,,0.0006228264664437794,5,1,3,avg,896.0,0.46367469598267164,COMPLETE
17,0.3112102237534845,2025-12-03 04:28:17.783160,2025-12-03 04:37:37.014446,0 days 00:09:19.231286,32,256,16,32,32.0,32.0,64.0,32.0,,,0.06844281503440364,5,64,,,,0.006310115137886585,8,1,3,max,528.0,0.31068222375348453,COMPLETE
18,1.7891456485129855,2025-12-03 04:37:37.121012,2025-12-03 04:47:34.165406,0 days 00:09:57.044394,128,256,32,32,32.0,256.0,32.0,256.0,16.0,128.0,0.4577441487940209,3,128,256.0,256.0,,0.00011692084817145474,10,3,3,avg,1488.0,1.7876576485129856,COMPLETE
