number,value,datetime_start,datetime_complete,duration,params_conv_ch_0,params_conv_ch_1,params_conv_ch_2,params_conv_ch_3,params_conv_ch_4,params_conv_ch_5,params_conv_ch_6,params_conv_ch_7,params_conv_ch_8,params_conv_ch_9,params_dropout,params_kernel_size,params_linear_units_0,params_linear_units_1,params_linear_units_2,params_linear_units_3,params_lr,params_n_conv_layers,params_n_linear_layers,params_pool_every,params_pool_type,user_attrs_complexity,user_attrs_mean_cv_loss,state
0,0.3267002903674077,2025-12-03 06:20:23.183324,2025-12-03 06:26:17.711096,0 days 00:05:54.527772,16,256,16,128,128.0,128.0,,,,,0.29894998940554257,3,128,128.0,256.0,64.0,0.0069782812651260325,6,4,2,max,960.0,0.3257402903674077,COMPLETE
1,0.4531030254780082,2025-12-03 06:26:17.818776,2025-12-03 06:38:26.000085,0 days 00:12:08.181309,256,256,32,16,,,,,,,0.44360637128816327,3,128,,,,0.0008798929749689024,4,1,3,max,624.0,0.45247902547800817,COMPLETE
2,1.3627952395945742,2025-12-03 06:38:26.104010,2025-12-03 06:51:00.362986,0 days 00:12:34.258976,64,256,64,16,,,,,,,0.2087055015743895,5,32,128.0,64.0,,0.00027810936979265544,4,3,3,avg,512.0,1.362283239594574,COMPLETE
3,0.6353665659462774,2025-12-03 06:51:00.475235,2025-12-03 06:54:31.133079,0 days 00:03:30.657844,16,16,64,32,,,,,,,0.020387570777381958,3,32,64.0,,,0.0015197980620034217,4,2,3,max,176.0,0.6351905659462774,COMPLETE
4,0.35917248596492607,2025-12-03 06:54:31.242644,2025-12-03 07:03:47.499967,0 days 00:09:16.257323,256,32,16,256,16.0,16.0,32.0,256.0,,,0.04683738391404624,5,128,,,,0.000543790487365709,8,1,3,max,944.0,0.35822848596492607,COMPLETE
5,0.7814617372471688,2025-12-03 07:03:47.612556,2025-12-03 07:14:17.054972,0 days 00:10:29.442416,16,256,256,16,32.0,,,,,,0.49502692505213164,5,64,,,,0.00019061980918553997,5,1,2,avg,608.0,0.7808537372471688,COMPLETE
6,1.6113509727860378,2025-12-03 07:14:17.167899,2025-12-03 07:19:47.352568,0 days 00:05:30.184669,16,128,32,16,256.0,64.0,32.0,,,,0.33009868835886563,3,256,64.0,32.0,64.0,0.00036296754488993613,7,4,3,avg,752.0,1.6105989727860377,COMPLETE
7,0.6593660560262915,2025-12-03 07:19:47.457972,2025-12-03 07:24:02.638640,0 days 00:04:15.180668,32,16,16,256,16.0,16.0,64.0,128.0,16.0,64.0,0.17040177012650892,5,32,256.0,64.0,,0.007269669235029612,10,3,2,avg,800.0,0.6585660560262915,COMPLETE
8,0.3621014658109363,2025-12-03 07:24:02.753587,2025-12-03 07:39:01.107594,0 days 00:14:58.354007,128,64,256,32,64.0,256.0,128.0,256.0,128.0,128.0,0.37302243963271164,5,128,64.0,,,0.0014680387869452154,10,2,3,avg,1536.0,0.3605654658109363,COMPLETE
9,0.6103047986876984,2025-12-03 07:39:01.216033,2025-12-03 07:48:08.887988,0 days 00:09:07.671955,128,256,64,256,64.0,16.0,128.0,64.0,64.0,32.0,0.4064505045650388,3,128,128.0,,,0.009987006822797443,10,2,2,avg,1200.0,0.6091047986876984,COMPLETE
10,0.45631624800710385,2025-12-03 07:48:09.001199,2025-12-03 07:53:51.391541,0 days 00:05:42.390342,16,256,16,128,128.0,,,,,,0.3070298869454124,3,64,32.0,256.0,,0.008475295772495287,5,3,2,avg,720.0,0.45559624800710385,COMPLETE
11,0.42076348224581944,2025-12-03 07:53:51.499489,2025-12-03 08:02:15.165166,0 days 00:08:23.665677,16,32,16,256,128.0,128.0,32.0,256.0,256.0,,0.10850640605704041,5,128,,,,0.0003818336466645323,9,1,3,avg,1184.0,0.4195794822458194,COMPLETE
12,0.7684986294082164,2025-12-03 08:02:15.271338,2025-12-03 08:07:40.312107,0 days 00:05:25.040769,64,32,16,256,16.0,,,,,,0.043271819311650556,5,128,,,,0.00023417281219678378,5,1,3,max,448.0,0.7680506294082164,COMPLETE
13,0.564629750578836,2025-12-03 08:07:40.424804,2025-12-03 08:17:44.785525,0 days 00:10:04.360721,64,256,64,128,16.0,,,,,,0.37088559893700623,5,128,128.0,256.0,64.0,0.0022372969415807823,5,4,2,max,816.0,0.563813750578836,COMPLETE
14,0.24949917215438655,2025-12-03 08:17:44.895876,2025-12-03 08:27:18.534855,0 days 00:09:33.638979,256,128,16,256,128.0,32.0,256.0,32.0,32.0,,0.013640975350941088,3,128,,,,0.00033584864299871826,9,1,3,max,1200.0,0.24829917215438654,COMPLETE
15,0.5663790735870422,2025-12-03 08:27:18.649990,2025-12-03 08:33:15.786315,0 days 00:05:57.136325,64,128,16,128,128.0,32.0,256.0,32.0,32.0,16.0,0.05319806723809845,3,128,,,,0.00018406424325279514,10,1,3,max,896.0,0.5654830735870422,COMPLETE
16,0.6364858969273465,2025-12-03 08:33:15.900070,2025-12-03 08:37:51.050111,0 days 00:04:35.150041,16,64,16,128,128.0,32.0,256.0,,,,0.17778304379932214,5,128,32.0,128.0,256.0,0.005107752288406421,7,4,2,max,912.0,0.6355738969273464,COMPLETE
17,0.3940600547369952,2025-12-03 08:37:51.151335,2025-12-03 08:47:48.395622,0 days 00:09:57.244287,128,256,128,256,128.0,128.0,,,,,0.26020842239138664,3,32,256.0,256.0,32.0,0.00954034899951224,6,4,2,max,1312.0,0.3927480547369952,COMPLETE
18,0.4016007707349418,2025-12-03 08:47:48.506941,2025-12-03 08:53:41.661444,0 days 00:05:53.154503,32,256,16,128,,,,,,,0.1015795843682826,3,128,128.0,32.0,128.0,0.006734409812620915,4,4,2,max,640.0,0.40096077073494185,COMPLETE
19,0.5994740871606917,2025-12-03 08:53:41.771507,2025-12-03 08:59:38.063187,0 days 00:05:56.291680,16,256,16,128,256.0,32.0,16.0,16.0,,,0.46405437734450883,3,128,128.0,128.0,64.0,0.0030820204139093317,8,4,2,max,960.0,0.5985140871606918,COMPLETE
20,0.33741824708610996,2025-12-03 08:59:38.173808,2025-12-03 09:06:53.155102,0 days 00:07:14.981294,256,64,64,256,32.0,128.0,256.0,32.0,32.0,256.0,0.19308550924549847,3,128,,,,0.0001756284134957562,10,1,2,max,1440.0,0.33597824708610996,COMPLETE
21,0.41913003028980544,2025-12-03 09:06:53.260533,2025-12-03 09:12:31.667636,0 days 00:05:38.407103,128,64,64,256,32.0,128.0,256.0,32.0,,,0.20384436924894359,3,128,,,,0.00013741248487455802,8,1,2,max,1024.0,0.4181060302898054,COMPLETE
22,0.3066356013268249,2025-12-03 09:12:31.782608,2025-12-03 09:22:12.449094,0 days 00:09:40.666486,256,128,32,256,32.0,128.0,256.0,32.0,32.0,,0.11448154676527764,3,128,,,,0.00022821411947447707,9,1,3,max,1216.0,0.3054196013268249,COMPLETE
23,0.6175235121028075,2025-12-03 09:22:12.561209,2025-12-03 09:31:04.984423,0 days 00:08:52.423214,256,128,32,16,32.0,128.0,256.0,32.0,,,0.14396549272342504,3,128,32.0,,,0.00032234330905060867,8,2,3,avg,960.0,0.6165635121028076,COMPLETE
24,0.24803859655283042,2025-12-03 09:31:05.093598,2025-12-03 09:46:54.396946,0 days 00:15:49.303348,256,128,256,256,128.0,256.0,16.0,32.0,32.0,16.0,0.2357556101042762,3,128,,,,0.000479834936368198,10,1,3,max,1440.0,0.24659859655283042,COMPLETE
25,0.16860365840557967,2025-12-03 09:46:54.516590,2025-12-03 10:02:32.797313,0 days 00:15:38.280723,256,128,256,256,128.0,256.0,16.0,32.0,32.0,,0.20957352876156504,3,128,256.0,,,0.0017583076338086685,9,2,3,max,1552.0,0.16705165840557967,COMPLETE
26,0.28207285393656806,2025-12-03 10:02:32.910476,2025-12-03 10:15:28.540232,0 days 00:12:55.629756,256,64,256,256,128.0,256.0,16.0,32.0,32.0,,0.22375267169259766,3,128,256.0,,,0.003767370936423348,9,2,3,max,1488.0,0.28058485393656807,COMPLETE
27,1.2241420850937283,2025-12-03 10:15:28.652613,2025-12-03 10:40:28.124449,0 days 00:24:59.471836,256,128,256,64,128.0,256.0,16.0,32.0,32.0,16.0,0.24905303351906558,5,128,256.0,64.0,,0.0003041731026046238,10,3,3,max,1408.0,1.2227340850937283,COMPLETE
28,0.1936097594911638,2025-12-03 10:40:28.231053,2025-12-03 10:50:19.873242,0 days 00:09:51.642189,256,32,128,256,128.0,256.0,16.0,64.0,32.0,,0.41690089537246366,3,128,,,,0.00047499031398918134,9,1,3,max,1232.0,0.19237775949116379,COMPLETE
29,0.36441290337403137,2025-12-03 10:50:19.982085,2025-12-03 10:58:44.935544,0 days 00:08:24.953459,256,32,128,16,128.0,256.0,16.0,64.0,32.0,,0.4470455247109361,3,128,256.0,,,0.0003768107795211509,9,2,3,max,1120.0,0.36329290337403136,COMPLETE
