number,value,datetime_start,datetime_complete,duration,params_conv_ch_0,params_conv_ch_1,params_conv_ch_10,params_conv_ch_11,params_conv_ch_12,params_conv_ch_13,params_conv_ch_2,params_conv_ch_3,params_conv_ch_4,params_conv_ch_5,params_conv_ch_6,params_conv_ch_7,params_conv_ch_8,params_conv_ch_9,params_dropout,params_kernel_size,params_linear_units_0,params_linear_units_1,params_lr,params_n_conv_layers,params_n_linear_layers,params_pool_every,params_pool_type,user_attrs_complexity,user_attrs_mean_cv_loss,state
0,0.3706224055968279,2025-12-08 01:31:50.173412,2025-12-08 01:37:59.621955,0 days 00:06:09.448543,16,256,,,,,16,128,128,128,64,32,32.0,128.0,0.32818484499495254,3,32,256.0,0.0040215545266902904,10,2,2,avg,1072.0,0.3695504055968279,COMPLETE
1,0.3740296938997446,2025-12-08 01:37:59.747397,2025-12-08 01:46:08.852960,0 days 00:08:09.105563,128,32,,,,,16,128,256,32,256,64,,,0.34558703250838835,3,128,64.0,0.0007148510793512986,8,2,4,max,1008.0,0.3730216938997446,COMPLETE
2,1.4252204131749562,2025-12-08 01:46:08.965338,2025-12-08 01:50:35.788354,0 days 00:04:26.823016,32,32,16.0,16.0,256.0,,32,128,64,32,32,64,64.0,128.0,0.43270035382161115,5,256,32.0,0.00010235832435175117,13,2,2,avg,1040.0,1.4241804131749563,COMPLETE
3,0.4955917653715942,2025-12-08 01:50:35.890283,2025-12-08 01:59:10.041603,0 days 00:08:34.151320,128,128,,,,,16,16,256,256,16,32,32.0,,0.46187223109570275,3,32,64.0,0.004170871302599374,9,2,4,max,928.0,0.49466376537159423,COMPLETE
4,0.6686401645154123,2025-12-08 01:59:10.149627,2025-12-08 02:06:12.380174,0 days 00:07:02.230547,64,32,16.0,64.0,64.0,32.0,16,128,64,256,32,256,16.0,64.0,0.48804604828499154,3,128,256.0,0.0014156254304586423,14,2,4,avg,1296.0,0.6673441645154123,COMPLETE
5,0.37929775104137486,2025-12-08 02:06:12.487622,2025-12-08 02:17:05.866285,0 days 00:10:53.378663,256,16,,,,,256,32,32,128,128,256,128.0,256.0,0.3883061002746754,3,32,256.0,0.00596222505881059,10,2,4,avg,1632.0,0.37766575104137484,COMPLETE
6,0.26209116261343895,2025-12-08 02:17:05.973855,2025-12-08 02:28:05.594801,0 days 00:10:59.620946,32,64,,,,,32,32,128,16,256,256,32.0,16.0,0.3911313505571426,5,64,,0.0017388623155849393,10,1,4,max,896.0,0.26119516261343895,COMPLETE
7,0.24902974927050062,2025-12-08 02:28:05.705803,2025-12-08 02:34:52.966485,0 days 00:06:47.260682,256,16,,,,,256,128,256,128,16,64,32.0,,0.45446367834712786,3,64,,0.0010973041007839744,9,1,2,max,1184.0,0.24784574927050063,COMPLETE
8,0.4413384179673883,2025-12-08 02:34:53.074623,2025-12-08 02:41:44.253786,0 days 00:06:51.179163,32,16,64.0,128.0,64.0,,64,16,64,128,32,128,32.0,128.0,0.4023354884231332,5,32,128.0,0.0011593831134486484,13,2,4,avg,976.0,0.44036241796738834,COMPLETE
9,0.3128114287371181,2025-12-08 02:41:44.354787,2025-12-08 02:50:44.164886,0 days 00:08:59.810099,16,256,,,,,64,64,64,16,128,256,,,0.41432253789398,3,128,,0.0003630431002952846,8,1,4,max,928.0,0.3118834287371181,COMPLETE
