number,value,datetime_start,datetime_complete,duration,params_conv_ch_0,params_conv_ch_1,params_conv_ch_10,params_conv_ch_11,params_conv_ch_12,params_conv_ch_13,params_conv_ch_2,params_conv_ch_3,params_conv_ch_4,params_conv_ch_5,params_conv_ch_6,params_conv_ch_7,params_conv_ch_8,params_conv_ch_9,params_dropout,params_kernel_size,params_linear_units_0,params_linear_units_1,params_lr,params_n_conv_layers,params_n_linear_layers,params_pool_every,params_pool_type,user_attrs_complexity,user_attrs_mean_cv_loss,state
0,0.3926846926991684,2025-12-08 07:00:24.585419,2025-12-08 07:06:16.151483,0 days 00:05:51.566064,16,256,,,,,16,128,128,128,64,32,32.0,128.0,0.32818484499495254,3,32,256.0,0.0040215545266902904,10,2,2,avg,1072.0,0.3916126926991684,COMPLETE
1,0.3619459156654051,2025-12-08 07:06:16.259345,2025-12-08 07:14:15.103872,0 days 00:07:58.844527,128,32,,,,,16,128,256,32,256,64,,,0.34558703250838835,3,128,64.0,0.0007148510793512986,8,2,4,max,1008.0,0.3609379156654051,COMPLETE
2,1.4644019454233244,2025-12-08 07:14:15.213870,2025-12-08 07:18:46.758981,0 days 00:04:31.545111,32,32,16.0,16.0,256.0,,32,128,64,32,32,64,64.0,128.0,0.43270035382161115,5,256,32.0,0.00010235832435175117,13,2,2,avg,1040.0,1.4633619454233244,COMPLETE
3,0.4290600908895217,2025-12-08 07:18:46.874941,2025-12-08 07:27:21.013536,0 days 00:08:34.138595,128,128,,,,,16,16,256,256,16,32,32.0,,0.46187223109570275,3,32,64.0,0.004170871302599374,9,2,4,max,928.0,0.4281320908895217,COMPLETE
4,0.40003681281212644,2025-12-08 07:27:21.120148,2025-12-08 07:34:22.591684,0 days 00:07:01.471536,64,32,16.0,64.0,64.0,32.0,16,128,64,256,32,256,16.0,64.0,0.48804604828499154,3,128,256.0,0.0014156254304586423,14,2,4,avg,1296.0,0.3987408128121264,COMPLETE
5,0.33887568866367695,2025-12-08 07:34:22.704817,2025-12-08 07:45:14.214030,0 days 00:10:51.509213,256,16,,,,,256,32,32,128,128,256,128.0,256.0,0.3883061002746754,3,32,256.0,0.00596222505881059,10,2,4,avg,1632.0,0.33724368866367693,COMPLETE
6,0.28334349289459715,2025-12-08 07:45:14.323731,2025-12-08 07:56:10.869766,0 days 00:10:56.546035,32,64,,,,,32,32,128,16,256,256,32.0,16.0,0.3911313505571426,5,64,,0.0017388623155849393,10,1,4,max,896.0,0.28244749289459714,COMPLETE
7,0.21298322930574792,2025-12-08 07:56:10.979916,2025-12-08 08:02:58.427356,0 days 00:06:47.447440,256,16,,,,,256,128,256,128,16,64,32.0,,0.45446367834712786,3,64,,0.0010973041007839744,9,1,2,max,1184.0,0.21179922930574793,COMPLETE
8,0.5078114549170355,2025-12-08 08:02:58.534533,2025-12-08 08:09:48.086008,0 days 00:06:49.551475,32,16,64.0,128.0,64.0,,64,16,64,128,32,128,32.0,128.0,0.4023354884231332,5,32,128.0,0.0011593831134486484,13,2,4,avg,976.0,0.5068354549170355,COMPLETE
9,0.31497172073213886,2025-12-08 08:09:48.193753,2025-12-08 08:18:47.504356,0 days 00:08:59.310603,16,256,,,,,64,64,64,16,128,256,,,0.41432253789398,3,128,,0.0003630431002952846,8,1,4,max,928.0,0.3140437207321389,COMPLETE
10,0.5515279556679363,2025-12-08 08:18:47.615356,2025-12-08 08:22:46.533332,0 days 00:03:58.917976,16,16,256.0,,,,16,128,64,128,128,64,256.0,32.0,0.414522603739389,3,64,,0.00018128945216980378,11,1,2,max,1136.0,0.5503919556679363,COMPLETE
11,0.2791450467784793,2025-12-08 08:22:46.650332,2025-12-08 08:27:04.362593,0 days 00:04:17.712261,128,16,,,,,32,128,32,16,16,64,,,0.49193545842210856,3,64,,0.003594310432358842,8,1,2,max,464.0,0.27868104677847927,COMPLETE
12,0.2576484582696638,2025-12-08 08:27:04.477084,2025-12-08 08:33:32.294220,0 days 00:06:27.817136,256,16,,,,,256,128,32,128,16,64,,,0.41474216579175405,3,64,,0.0025445567120031087,8,1,2,max,928.0,0.25672045826966383,COMPLETE
13,0.28308788510711386,2025-12-08 08:33:32.406218,2025-12-08 08:46:39.997160,0 days 00:13:07.590942,256,64,,,,,256,128,32,128,16,64,,,0.40598874968164744,3,64,,0.0011502784836657815,8,1,4,avg,976.0,0.2821118851071139,COMPLETE
14,0.1724977705352536,2025-12-08 08:46:40.105245,2025-12-08 08:53:08.226134,0 days 00:06:28.120889,256,16,,,,,256,128,32,128,64,64,,,0.3986671360118502,3,128,,0.0037019571035174586,8,1,2,max,1008.0,0.17148977053525358,COMPLETE
15,0.3402996706762119,2025-12-08 08:53:08.342056,2025-12-08 08:58:17.200887,0 days 00:05:08.858831,256,16,,,,,16,16,32,16,64,16,,,0.37009207827474316,3,128,,0.003118752391810117,8,1,2,max,496.0,0.3398036706762119,COMPLETE
16,0.2590943460794932,2025-12-08 08:58:17.312038,2025-12-08 09:02:30.486205,0 days 00:04:13.174167,32,32,,,,,256,64,16,128,64,64,16.0,64.0,0.44917488967965225,3,128,,0.0008846607689644107,10,1,2,max,800.0,0.2582943460794932,COMPLETE
17,0.26469275321011976,2025-12-08 09:02:30.600780,2025-12-08 09:09:12.835780,0 days 00:06:42.235000,32,256,,,,,128,16,256,128,16,32,64.0,,0.4873821203592965,3,64,,0.0012225420837682142,9,1,2,max,960.0,0.26373275321011974,COMPLETE
18,0.23314713970097822,2025-12-08 09:09:12.952780,2025-12-08 09:16:54.669364,0 days 00:07:41.716584,256,16,,,,,64,128,128,128,32,64,128.0,,0.3414355025816088,5,128,,0.0018510154719368812,9,1,2,max,1008.0,0.23213913970097821,COMPLETE
19,0.2201467458663567,2025-12-08 09:16:54.778364,2025-12-08 09:29:09.703318,0 days 00:12:14.924954,16,256,,,,,256,128,32,128,64,128,256.0,256.0,0.45148556283431884,5,128,,0.0015859458098777441,10,1,2,max,1584.0,0.2185627458663567,COMPLETE
20,0.2744721506588074,2025-12-08 09:29:09.821939,2025-12-08 09:34:24.009427,0 days 00:05:14.187488,16,16,,,,,256,256,64,128,64,64,32.0,,0.3864408976766663,3,128,,0.00598037567727737,9,1,2,max,960.0,0.2735121506588074,COMPLETE
21,0.39817014509727977,2025-12-08 09:34:24.118426,2025-12-08 09:46:40.505929,0 days 00:12:16.387503,16,256,,,,,256,128,32,128,64,128,256.0,256.0,0.4537938641717541,5,128,,0.0001969368354797966,10,1,2,max,1584.0,0.3965861450972798,COMPLETE
22,0.20384440305791132,2025-12-08 09:46:40.617927,2025-12-08 09:55:02.238692,0 days 00:08:21.620765,256,128,,,,,16,128,128,128,64,64,256.0,256.0,0.46279723861444305,3,128,,0.002797158329941765,10,1,2,avg,1488.0,0.20235640305791133,COMPLETE
23,0.2738980169157075,2025-12-08 09:55:02.354691,2025-12-08 10:03:19.331861,0 days 00:08:16.977170,256,128,,,,,16,128,128,32,64,256,256.0,,0.46138664577040905,3,128,,0.001989551590332392,9,1,2,avg,1328.0,0.2725700169157075,COMPLETE
24,0.3074957737787566,2025-12-08 10:03:19.437711,2025-12-08 10:11:34.311472,0 days 00:08:14.873761,64,128,32.0,,,,32,128,128,128,64,64,256.0,32.0,0.4549970498881234,3,128,128.0,0.0015273346842191219,11,2,4,avg,1184.0,0.30631177377875657,COMPLETE
